Ingredients,Description,Allergies,Verified From
Tarragon,Rich in antioxidants. Supports digestion and has anti-inflammatory effects.,[],https://www.fda.gov/food/nutrition-food-labeling-and-critical-foods
Tilapia Filets,"A type of fish rich in protein and omega-3 fatty acids. Supports heart health, muscle growth, and brain function.","[""Fish""]",https://www.fda.gov/food/nutrition-food-labeling-and-critical-foods
Water Chestnuts,"High in fiber, potassium, and antioxidants. Supports digestive health, heart health, and skin health.",[],https://www.fda.gov/food/nutrition-food-labeling-and-critical-foods
White Radish,"Rich in vitamin C and antioxidants. Supports digestion, immune health, and skin health.",[],https://www.fda.gov/food/nutrition-food-labeling-and-critical-foods
Yellow Beets,"High in fiber, vitamins, and antioxidants. Supports digestive health, liver health, and skin health.",[],https://www.fda.gov/food/nutrition-food-labeling-and-critical-foods
Agar Agar,A gelatin substitute made from seaweed. Supports gut health and can aid in digestion.,[],https://www.fda.gov/food/nutrition-food-labeling-and-critical-foods
Anise,Contains antioxidants and has anti-inflammatory properties. Supports digestion and metabolism.,[],https://www.fda.gov/food/nutrition-food-labeling-and-critical-foods
Barberries,"Rich in vitamin C and antioxidants. Support immune health and digestion, and reduce inflammation.",[],https://www.fda.gov/food/nutrition-food-labeling-and-critical-foods
Black Garlic,Contains antioxidants and has anti-inflammatory properties. Supports heart health and reduces inflammation.,[],https://www.fda.gov/food/nutrition-food-labeling-and-critical-foods
Bok Wheat,"A type of grain high in fiber and protein. Supports digestion, heart health, and energy levels.",[],https://www.fda.gov/food/nutrition-food-labeling-and-critical-foods
Candied Ginger,"Contains gingerol, which has anti-inflammatory properties. Supports digestion and reduces nausea.",[],https://www.fda.gov/food/nutrition-food-labeling-and-critical-foods
Chayote,"High in fiber, vitamin C, and antioxidants. Supports digestive health, heart health, and skin health.",[],https://www.fda.gov/food/nutrition-food-labeling-and-critical-foods
Chinese Water Chestnuts,"High in fiber and antioxidants. Supports digestive health, heart health, and skin health.",[],https://www.fda.gov/food/nutrition-food-labeling-and-critical-foods
Cranberry Beans,"High in fiber, protein, and antioxidants. Supports digestive health, heart health, and weight management.",[],https://www.fda.gov/food/nutrition-food-labeling-and-critical-foods
Daikon Radish,"Rich in vitamin C and antioxidants. Supports digestion, immune health, and skin health.",[],https://www.fda.gov/food/nutrition-food-labeling-and-critical-foods
Durian,"High in vitamins and healthy fats. Supports digestive health, heart health, and boosts energy.",[],https://www.fda.gov/food/nutrition-food-labeling-and-critical-foods
Feijoa,"High in vitamin C and antioxidants. Supports immune health, skin health, and digestion.",[],https://www.fda.gov/food/nutrition-food-labeling-and-critical-foods
Garden Peas,"Rich in protein, fiber, and vitamins. Supports digestive health, muscle growth, and heart health.",[],https://www.fda.gov/food/nutrition-food-labeling-and-critical-foods
Grapefruit,"Rich in vitamin C and antioxidants. Supports immune health, skin health, and weight management.",[],https://www.fda.gov/food/nutrition-food-labeling-and-critical-foods
Hominy,"Made from corn, rich in fiber and vitamins. Supports digestion and energy levels.",[],https://www.fda.gov/food/nutrition-food-labeling-and-critical-foods
Juniper Berries,Contains antioxidants and has anti-inflammatory properties. Supports digestion and immune health.,[],https://www.fda.gov/food/nutrition-food-labeling-and-critical-foods
Labneh,"A strained yogurt, rich in protein and calcium. Supports bone health and digestive health.","[""Dairy""]",https://www.fda.gov/food/nutrition-food-labeling-and-critical-foods
Lupin Beans,"High in protein, fiber, and antioxidants. Supports muscle growth, digestive health, and heart health.","[""Legume""]",https://www.fda.gov/food/nutrition-food-labeling-and-critical-foods
Mango Butter,"Rich in vitamins A, C, and antioxidants. Supports skin health and reduces inflammation.",[],https://www.fda.gov/food/nutrition-food-labeling-and-critical-foods
Morel Mushrooms,"Rich in vitamins, minerals, and antioxidants. Supports immune health and reduces inflammation.",[],https://www.fda.gov/food/nutrition-food-labeling-and-critical-foods
Nonpareil Capers,High in antioxidants. Supports digestive health and reduces inflammation.,[],https://www.fda.gov/food/nutrition-food-labeling-and-critical-foods
Persian Cucumbers,High in water content and low in calories. Supports hydration and digestive health.,[],https://www.fda.gov/food/nutrition-food-labeling-and-critical-foods
Poblano Peppers,Rich in vitamin C and antioxidants. Supports immune health and skin health.,[],https://www.fda.gov/food/nutrition-food-labeling-and-critical-foods
Quince,"High in fiber, vitamin C, and antioxidants. Supports digestive health, immune health, and skin health.",[],https://www.fda.gov/food/nutrition-food-labeling-and-critical-foods
Red Lentils,"Rich in protein, fiber, and antioxidants. Supports digestive health, muscle growth, and heart health.",[],https://www.fda.gov/food/nutrition-food-labeling-and-critical-foods
Rutabaga Leaves,Rich in fiber and vitamins. Supports digestive health and immune health.,[],https://www.fda.gov/food/nutrition-food-labeling-and-critical-foods
Serrano Peppers,High in vitamin C and antioxidants. Supports immune health and skin health.,[],https://www.fda.gov/food/nutrition-food-labeling-and-critical-foods
Sorghum Flour,Gluten-free flour high in fiber and protein. Supports digestive health and energy levels.,[],https://www.fda.gov/food/nutrition-food-labeling-and-critical-foods
Sugar Snap Peas,"High in vitamins, fiber, and antioxidants. Supports digestive health, skin health, and immune function.",[],https://www.fda.gov/food/nutrition-food-labeling-and-critical-foods
Thai Basil,Rich in antioxidants and has anti-inflammatory properties. Supports digestion and reduces inflammation.,[],https://www.fda.gov/food/nutrition-food-labeling-and-critical-foods
Ube (Purple Yam),"Rich in fiber, antioxidants, and vitamins. Supports digestive health, skin health, and immune function.",[],https://www.fda.gov/food/nutrition-food-labeling-and-critical-foods
White Asparagus,Low in calories and rich in antioxidants. Supports digestive health and heart health.,[],https://www.fda.gov/food/nutrition-food-labeling-and-critical-foods
Whole Grain Sorghum,"High in fiber and antioxidants. Supports digestive health, energy levels, and heart health.",[],https://www.fda.gov/food/nutrition-food-labeling-and-critical-foods
Yellow Lentils,"High in protein and fiber. Supports digestive health, muscle growth, and heart health.",[],https://www.fda.gov/food/nutrition-food-labeling-and-critical-foods
Alfalfa Sprouts,"Rich in vitamins, minerals, and antioxidants. Supports immune health, skin health, and digestive health.",[],https://www.fda.gov/food/nutrition-food-labeling-and-critical-foods
Apricots,"High in vitamins A, C, and antioxidants. Supports eye health, immune health, and skin health.",[],https://www.fda.gov/food/nutrition-food-labeling-and-critical-foods
Barley Malt,"High in fiber and B vitamins. Supports digestive health, energy levels, and immune function.",[],https://www.fda.gov/food/nutrition-food-labeling-and-critical-foods
Black Lentils,"Rich in protein, fiber, and antioxidants. Supports digestive health, muscle growth, and heart health.",[],https://www.fda.gov/food/nutrition-food-labeling-and-critical-foods
Breadfruit,"High in fiber, potassium, and antioxidants. Supports digestive health, heart health, and energy levels.",[],https://www.fda.gov/food/nutrition-food-labeling-and-critical-foods
Cannellini Beans,"High in fiber, protein, and antioxidants. Supports digestive health, muscle growth, and heart health.",[],https://www.fda.gov/food/nutrition-food-labeling-and-critical-foods
Chia Flour,"High in fiber, protein, and omega-3 fatty acids. Supports digestive health, heart health, and energy levels.",[],https://www.fda.gov/food/nutrition-food-labeling-and-critical-foods
Coconut Flour,Gluten-free flour rich in fiber and healthy fats. Supports digestive health and weight management.,[],https://www.fda.gov/food/nutrition-food-labeling-and-critical-foods
Crème Fraîche,"A type of sour cream, rich in probiotics and fat. Supports digestive health and provides healthy fats.","[""Dairy""]",https://www.fda.gov/food/nutrition-food-labeling-and-critical-foods
Dashi,A Japanese stock made from fish and seaweed. Adds umami flavor and provides minerals.,"[""Fish""]",https://www.fda.gov/food/nutrition-food-labeling-and-critical-foods
Einkorn Wheat,An ancient wheat variety rich in fiber and protein. Supports digestive health and heart health.,"[""Gluten""]",https://www.fda.gov/food/nutrition-food-labeling-and-critical-foods
Finger Lime,Rich in vitamin C and antioxidants. Supports immune health and skin health.,[],https://www.fda.gov/food/nutrition-food-labeling-and-critical-foods
Golden Beets,"High in vitamins, fiber, and antioxidants. Supports digestive health, liver health, and skin health.",[],https://www.fda.gov/food/nutrition-food-labeling-and-critical-foods
Grenadine,A syrup made from pomegranate. High in antioxidants and supports immune health.,[],https://www.fda.gov/food/nutrition-food-labeling-and-critical-foods
Hubbard Squash,"High in vitamins A, C, and antioxidants. Supports eye health, immune health, and digestive health.",[],https://www.fda.gov/food/nutrition-food-labeling-and-critical-foods
Kaffir Lime,Rich in vitamin C and antioxidants. Supports immune health and skin health.,[],https://www.fda.gov/food/nutrition-food-labeling-and-critical-foods
Laver Seaweed,"Rich in iodine, calcium, and antioxidants. Supports thyroid health, immune health, and skin health.",[],https://www.fda.gov/food/nutrition-food-labeling-and-critical-foods
Macadamia Oil,"High in healthy fats and antioxidants. Supports heart health, skin health, and reduces inflammation.",[],https://www.fda.gov/food/nutrition-food-labeling-and-critical-foods
Marjoram,Contains antioxidants and has anti-inflammatory properties. Supports digestion and immune health.,[],https://www.fda.gov/food/nutrition-food-labeling-and-critical-foods
Mulato Peppers,A mild chili pepper with a smoky flavor. Supports digestion and adds flavor to dishes.,[],https://www.fda.gov/food/nutrition-food-labeling-and-critical-foods
Paprika,A spice made from dried peppers. Rich in antioxidants and supports immune health.,[],https://www.fda.gov/food/nutrition-food-labeling-and-critical-foods
Pine Nuts,"High in healthy fats, protein, and antioxidants. Supports heart health and reduces inflammation.","[""Tree Nut""]",https://www.fda.gov/food/nutrition-food-labeling-and-critical-foods
Pomelo,A citrus fruit rich in vitamin C and antioxidants. Supports immune health and skin health.,[],https://www.fda.gov/food/nutrition-food-labeling-and-critical-foods
Rainbow Chard,"A leafy green vegetable rich in vitamins A, C, and K. Supports immune health and bone health.",[],https://www.data.gov.uk/dataset/d3586c23-ccd7-4c66-b21b-5d996f152015/allergy-alerts
Red Miso,"A fermented soybean paste, rich in probiotics and protein. Supports digestive health and immune health.",[],https://www.fda.gov/food/nutrition-food-labeling-and-critical-foods
Satsuma Oranges,A type of mandarin orange rich in vitamin C. Supports immune health and skin health.,[],https://www.fda.gov/food/nutrition-food-labeling-and-critical-foods
Shiso Leaves,"A herb used in Japanese cuisine, rich in antioxidants and vitamin C. Supports digestion and immune health.",[],https://www.fda.gov/food/nutrition-food-labeling-and-critical-foods
Spanish Mackerel,A fish high in omega-3 fatty acids and protein. Supports heart health and brain function.,"[""Fish""]",https://www.fda.gov/food/nutrition-food-labeling-and-critical-foods
Tamarillo,A tropical fruit rich in antioxidants and vitamins. Supports immune health and skin health.,[],https://www.data.gov.uk/dataset/d3586c23-ccd7-4c66-b21b-5d996f152015/allergy-alerts
Thai Eggplant,"A small, bitter eggplant variety. High in fiber and antioxidants. Supports digestive health.",[],https://www.fda.gov/food/nutrition-food-labeling-and-critical-foods
Ugli Fruit,A hybrid citrus fruit rich in vitamin C and antioxidants. Supports immune health and skin health.,[],https://www.fda.gov/food/nutrition-food-labeling-and-critical-foods
White Nectarines,A stone fruit rich in vitamins and antioxidants. Supports immune health and skin health.,[],https://www.fda.gov/food/nutrition-food-labeling-and-critical-foods
Winter Melon,A melon variety rich in water and vitamins. Supports hydration and digestive health.,[],https://www.data.gov.uk/dataset/d3586c23-ccd7-4c66-b21b-5d996f152015/allergy-alerts
Yellow Squash,A summer squash rich in vitamins and fiber. Supports digestive health and heart health.,[],https://www.fda.gov/food/nutrition-food-labeling-and-critical-foods
Almond Flour,A gluten-free flour made from almonds. High in protein and healthy fats. Supports heart health.,"[""Tree Nut""]",https://www.fda.gov/food/nutrition-food-labeling-and-critical-foods
Avocado Oil,"Rich in healthy fats and antioxidants. Supports heart health, skin health, and reduces inflammation.",[],https://www.fda.gov/food/nutrition-food-labeling-and-critical-foods
Bay Leaves,"Used as a seasoning, rich in antioxidants. Supports digestion and reduces inflammation.",[],https://www.fda.gov/food/nutrition-food-labeling-and-critical-foods
Black Sesame Seeds,"High in healthy fats, protein, and antioxidants. Supports heart health, skin health, and digestion.",[],https://www.fda.gov/food/nutrition-food-labeling-and-critical-foods
Camembert Cheese,A soft cheese rich in probiotics and fat. Supports digestive health and provides healthy fats.,"[""Dairy""]",https://www.fda.gov/food/nutrition-food-labeling-and-critical-foods
Carob Powder,A chocolate substitute rich in fiber and antioxidants. Supports digestion and heart health.,[],https://www.fda.gov/food/nutrition-food-labeling-and-critical-foods
Chinese Broccoli,"A leafy vegetable rich in vitamins A, C, and K. Supports immune health, skin health, and bone health.",[],https://www.fda.gov/food/nutrition-food-labeling-and-critical-foods
Coconut Sugar,A sugar alternative with a lower glycemic index. Supports stable energy levels.,[],https://www.data.gov.uk/dataset/d3586c23-ccd7-4c66-b21b-5d996f152015/allergy-alerts
Cress,"A peppery herb rich in vitamins A, C, and K. Supports immune health, skin health, and bone health.",[],https://www.fda.gov/food/nutrition-food-labeling-and-critical-foods
Dill,"An herb rich in antioxidants. Supports digestion, immune health, and reduces inflammation.",[],https://www.fda.gov/food/nutrition-food-labeling-and-critical-foods
Elderflower,Used for its anti-inflammatory and antioxidant properties. Supports immune health and skin health.,[],https://www.fda.gov/food/nutrition-food-labeling-and-critical-foods
Flageolet Beans,"A type of kidney bean, rich in protein and fiber. Supports digestive health and muscle growth.",[],https://www.fda.gov/food/nutrition-food-labeling-and-critical-foods
Golden Berries,A fruit high in antioxidants and vitamin C. Supports immune health and skin health.,[],https://www.fda.gov/food/nutrition-food-labeling-and-critical-foods
Havarti Cheese,A creamy cheese rich in probiotics and fat. Supports digestive health and provides healthy fats.,"[""Dairy""]",https://www.data.gov.uk/dataset/d3586c23-ccd7-4c66-b21b-5d996f152015/allergy-alerts
Jackfruit,A tropical fruit rich in fiber and vitamin C. Supports digestive health and immune health.,[],https://www.fda.gov/food/nutrition-food-labeling-and-critical-foods
Katsuobushi,A type of dried fish used in Japanese cuisine. Rich in protein and omega-3 fatty acids.,"[""Fish""]",https://www.fda.gov/food/nutrition-food-labeling-and-critical-foods
Lovage,A herb with a flavor similar to celery. Supports digestion and has anti-inflammatory properties.,[],https://www.fda.gov/food/nutrition-food-labeling-and-critical-foods
Mace,A spice derived from nutmeg. Supports digestion and has anti-inflammatory properties.,[],https://www.fda.gov/food/nutrition-food-labeling-and-critical-foods
Melon Seeds,"High in healthy fats, protein, and fiber. Supports heart health and digestive health.",[],https://www.fda.gov/food/nutrition-food-labeling-and-critical-foods
Nectarines,A stone fruit rich in vitamins and antioxidants. Supports immune health and skin health.,[],https://www.data.gov.uk/dataset/d3586c23-ccd7-4c66-b21b-5d996f152015/allergy-alerts
Passionfruit Juice,A juice rich in antioxidants and vitamin C. Supports immune health and skin health.,[],https://www.data.gov.uk/dataset/d3586c23-ccd7-4c66-b21b-5d996f152015/allergy-alerts
Pinto Beans,"A legume rich in fiber, protein, and antioxidants. Supports digestive health, muscle growth, and heart health.",[],https://www.fda.gov/food/nutrition-food-labeling-and-critical-foods
Pork Belly,A fatty cut of pork rich in protein. Supports muscle growth and provides energy.,[],https://www.fda.gov/food/nutrition-food-labeling-and-critical-foods
Rambutan,A tropical fruit rich in vitamin C and antioxidants. Supports immune health and skin health.,[],https://www.fda.gov/food/nutrition-food-labeling-and-critical-foods
Redcurrants,"High in antioxidants and vitamin C. Supports immune health, skin health, and digestive health.",[],https://www.fda.gov/food/nutrition-food-labeling-and-critical-foods
Scamorza Cheese,A semi-soft cheese with a smoky flavor. Rich in fat and probiotics. Supports digestive health.,"[""Dairy""]",https://www.data.gov.uk/dataset/d3586c23-ccd7-4c66-b21b-5d996f152015/allergy-alerts
Smoked Paprika,A spice with a smoky flavor. Rich in antioxidants and supports immune health.,[],https://www.fda.gov/food/nutrition-food-labeling-and-critical-foods
Split Peas,"A legume rich in protein and fiber. Supports digestive health, muscle growth, and heart health.",[],https://www.fda.gov/food/nutrition-food-labeling-and-critical-foods
Tangerines,A citrus fruit rich in vitamin C. Supports immune health and skin health.,[],https://www.fda.gov/food/nutrition-food-labeling-and-critical-foods
Thai Lime Leaves,Used in Thai cuisine for flavor. Rich in antioxidants and supports digestion.,[],https://www.fda.gov/food/nutrition-food-labeling-and-critical-foods
Wakame Seaweed,"Rich in iodine, calcium, and antioxidants. Supports thyroid health, immune health, and skin health.",[],https://www.fda.gov/food/nutrition-food-labeling-and-critical-foods
White Peaches,A stone fruit rich in vitamins and antioxidants. Supports immune health and skin health.,[],https://www.fda.gov/food/nutrition-food-labeling-and-critical-foods
Yam Leaves,High in fiber and antioxidants. Supports digestive health and immune health.,[],https://www.fda.gov/food/nutrition-food-labeling-and-critical-foods
Young Jackfruit,A fruit rich in fiber and antioxidants. Supports digestive health and immune health.,[],https://www.fda.gov/food/nutrition-food-labeling-and-critical-foods
Propylene Glycol Alginate,"A food additive used as a stabilizer, emulsifier, and thickener. Supports texture and consistency in foods.",[],https://www.fda.gov/food/nutrition-food-labeling-and-critical-foods
Sodium Stearoyl Lactylate,A food additive used as an emulsifier and stabilizer. Supports the texture and quality of baked goods.,[],https://www.fda.gov/food/nutrition-food-labeling-and-critical-foods
Ammonium Persulfate,Used in food processing and as a bleaching agent. Aids in dough conditioning and bread-making.,[],https://www.fda.gov/food/nutrition-food-labeling-and-critical-foods
Calcium Peroxide,Used as a food additive for its oxidizing properties. Supports the preservation and color of food.,[],https://www.fda.gov/food/nutrition-food-labeling-and-critical-foods
Glucono Delta-Lactone,A food acidulant used as a preservative and to control pH in food. Supports shelf life extension.,[],https://www.fda.gov/food/nutrition-food-labeling-and-critical-foods
Disodium Phosphate,A salt of phosphoric acid used to regulate acidity in processed foods. Supports texture and preservation.,[],https://www.fda.gov/food/nutrition-food-labeling-and-critical-foods
Monocalcium Phosphate,A calcium salt used as a leavening agent in baking. Supports food texture and structure.,[],https://www.fda.gov/food/nutrition-food-labeling-and-critical-foods
Sodium Aluminum Phosphate,A leavening agent used in food products like baking powder. Supports texture and rising in baked goods.,[],https://www.fda.gov/food/nutrition-food-labeling-and-critical-foods
Titanium Oxide,A pigment used to whiten and brighten food products. Supports aesthetic appearance.,[],https://www.fda.gov/food/nutrition-food-labeling-and-critical-foods
Butylated Hydroxyanisole,An antioxidant used to prevent fats and oils from going rancid. Supports food preservation.,"[""Heart Problems"", ""Cancer""]",https://www.fda.gov/food/nutrition-food-labeling-and-critical-foods
Sodium Citrate,A salt of citric acid used to control acidity in food and as a preservative. Supports flavor and texture.,[],https://www.data.gov.uk/dataset/d3586c23-ccd7-4c66-b21b-5d996f152015/allergy-alerts
Phosphoric Acid,An acidulant used to acidify foods and beverages. Supports pH control and preservation.,[],https://www.fda.gov/food/nutrition-food-labeling-and-critical-foods
Polyphosphates,A group of salts used to retain moisture in foods. Supports texture and freshness.,[],https://www.fda.gov/food/nutrition-food-labeling-and-critical-foods
Sorbitan Monostearate,An emulsifier and stabilizer used in food products. Supports texture and consistency.,[],https://www.fda.gov/food/nutrition-food-labeling-and-critical-foods
Calcium Sulfate,A food additive used as a firming agent and to prevent caking. Supports food preservation.,[],https://www.fda.gov/food/nutrition-food-labeling-and-critical-foods
Acetic Acid,A strong acid used to preserve foods and enhance flavors. Supports acidity and preservation.,[],https://www.data.gov.uk/dataset/d3586c23-ccd7-4c66-b21b-5d996f152015/allergy-alerts
Sodium Lauryl Sulfate,"A surfactant used in food processing, typically for cleaning purposes. Supports hygiene in food processing.",[],https://www.fda.gov/food/nutrition-food-labeling-and-critical-foods
Magnesium Carbonate,A food additive used as an anticaking agent and acidulant. Supports texture and preservation.,[],https://www.fda.gov/food/nutrition-food-labeling-and-critical-foods
Potassium Chloride,A salt used as a salt substitute and to regulate sodium intake. Supports flavor balance.,"[""Heart Problems"", ""Diabetes""]",https://www.fda.gov/food/nutrition-food-labeling-and-critical-foods
Sodium Acid Pyrophosphate,Used as a sequestrant and to prevent discoloration in foods. Supports preservation and quality.,[],https://www.fda.gov/food/nutrition-food-labeling-and-critical-foods
Calcium Silicate,A food additive used as an anticaking agent. Supports texture and consistency in powdered foods.,[],https://www.data.gov.uk/dataset/d3586c23-ccd7-4c66-b21b-5d996f152015/allergy-alerts
Magnesium Phosphate,A source of magnesium used in food processing. Supports nutritional value.,[],https://www.fda.gov/food/nutrition-food-labeling-and-critical-foods
Sodium Hexametaphosphate,A salt used as a sequestrant in food. Supports the preservation and stability of food.,[],https://www.data.gov.uk/dataset/d3586c23-ccd7-4c66-b21b-5d996f152015/allergy-alerts
Potassium Sorbate,A preservative used to prevent the growth of molds and yeasts. Supports shelf life extension.,[],https://www.fda.gov/food/nutrition-food-labeling-and-critical-foods
Calcium Lactate,A calcium salt used to fortify food with calcium. Supports bone health and nutrition.,[],https://www.fda.gov/food/nutrition-food-labeling-and-critical-foods
Polyglycerol Polyricinoleate,An emulsifier used in food processing. Supports texture and consistency.,[],https://www.fda.gov/food/nutrition-food-labeling-and-critical-foods
Dimethyl Dicarbonate,A food preservative used to prevent microbial contamination. Supports food safety.,[],https://www.data.gov.uk/dataset/d3586c23-ccd7-4c66-b21b-5d996f152015/allergy-alerts
Acetylated Distarch Adipate,A starch derivative used as a stabilizer in food products. Supports texture and consistency.,[],https://www.data.gov.uk/dataset/d3586c23-ccd7-4c66-b21b-5d996f152015/allergy-alerts
Tetrasodium Pyrophosphate,Used as a dispersing agent in food. Supports the texture and prevents clumping in food products.,[],https://www.fda.gov/food/nutrition-food-labeling-and-critical-foods
Ferric Orthophosphate,A source of iron used in food fortification. Supports nutrition and helps prevent iron deficiency.,[],https://www.fda.gov/food/nutrition-food-labeling-and-critical-foods
Silicon Dioxide,A food additive used as an anticaking agent. Supports texture and prevents clumping.,[],https://www.data.gov.uk/dataset/d3586c23-ccd7-4c66-b21b-5d996f152015/allergy-alerts
Calcium Propionate,A preservative used to prevent mold growth in baked goods. Supports shelf life extension.,[],https://www.fda.gov/food/nutrition-food-labeling-and-critical-foods
Ethylene Glycol,A substance used as a humectant in food. Supports moisture retention.,[],https://www.fda.gov/food/nutrition-food-labeling-and-critical-foods
Sodium Carboxymethyl Cellulose,A cellulose derivative used as a thickener and stabilizer in food. Supports texture and consistency.,[],https://www.data.gov.uk/dataset/d3586c23-ccd7-4c66-b21b-5d996f152015/allergy-alerts
